date,time,tweet,Traduccion,sentimiento_predicho,etiqueta_sentimiento,score_sentimiento
2023-01-14,,amigos les mandé dm gracias,Friends I sent you DM Thank you,0,Positive,0.867742
2023-01-14,,solicito su ayuda gracias,I request your help thanks,0,Positive,0.8168413
2023-01-15,,Gracias!Ya respondí.Quedo atenta,Thanks! I already replied. I continue attentive,0,Positive,0.8954672
2023-01-16,,Va gracias,It goes thanks,0,Positive,0.6816162
2023-01-16,,No sé ni a qué le piqué pero muchas gracias😂❤️,I don't know what I piqua but thank you very much😂❤️,0,Positive,0.9690433
2023-01-16,,"Planeación de temporada 2023 de los equipos, gracias a por la ocnfianza desde el día 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@DavilaCarloss","Season Planning 2023 of the teams, thanks to the Ocnfianza from day 1 and the sponsorship bomb is coming with the double!}@Davilacarloss",0,Positive,0.6401588
2023-01-16,,Por eso son mi banco 1 ⭐⭐⭐⭐⭐,That's why they are my bank 1 ⭐⭐⭐⭐⭐,0,Positive,0.54193664
2023-01-17,,Gracias,Gracias,0,Neutral,0.62235206
2023-01-17,,Thanks!,Thanks!,0,Positive,0.87152827
2023-01-17,,Muchas gracias!,Thank you so much!,0,Positive,0.9851757
2023-01-17,,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo","Thank you very much, it helped me enough, the position no longer proceeded, they got very good even when I could not communicate on the phone, they were very friendly, thank you for your interest, it took care of everything",0,Positive,0.9784697
2023-01-17,,"Increíble, gracias HeyBanco!!@heybanco","Incredible, thanks heybanco !!@heybanco",0,Positive,0.9736086
2023-01-17,,Me contestaron que sí.,They answered yes.,0,Positive,0.5412065
2023-01-18,,Gracias,Gracias,0,Neutral,0.62235206
2023-01-18,,Gracias!,Gracias!,0,Positive,0.77770084
2023-01-18,,Graciaaas.,Grace,0,Neutral,0.69399494
2023-01-18,,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.","Thanks for being on the lookout, I am sure that the batteries will be put to arrive in the incentives, if I will not be asking for your support.",0,Positive,0.68002415
2023-01-18,,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento","💰The sixth option This option is one of the best, its 7 -day promissory note is the best in the market with 10% annual rate only that the investment here is from $ 5,000, it has a goals that give you performance to expired month of 4% and your money available at any time",0,Positive,0.9650445
2023-01-18,,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,🇬🇹 What a good vibes for you David 👏👏 to enjoy it !!!,0,Positive,0.98515815
2023-01-19,,¡Gracias,¡Gracias,0,Neutral,0.747629
2023-01-19,,"¡Hola!, me pueden apoyar por favor 😬",Hello! You can please support me 😬,0,Positive,0.92766905
2023-01-19,,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼","That is appreciated, the warning 👏🏼👏🏼👏🏼👏🏼👏🏼",0,Positive,0.95063084
2023-01-19,,"Gracias, ya se ve reflejado. Solucionado. Gracias","Thank you, it is already reflected.Solved.Thank you",0,Positive,0.9567707
2023-01-20,,"Listo, gracias!",Ready thanks!,0,Positive,0.83727825
2023-01-20,,Muchas gracias!,Thank you so much!,0,Positive,0.9851757
2023-01-20,,Los tkm ♥️,Los tkm ♥️,0,Positive,0.899688
2023-01-20,,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii","Coesía de Anímense to take account of Hey, thank you very much for the gift c: @nei_aokii",0,Positive,0.9552535
2023-01-20,,Cof cof también ❤️❤️,COF COF also ❤️❤️,0,Positive,0.9762211
2023-01-20,,te lo súper recomiendo. Y no te cobran el plástico.,I super recommend it.And they do not charge you the plastic.,0,Positive,0.9360022
2023-01-20,,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼","Fortunately, in Mexico we have, which gives us 10% of what we have in account!👌🏼",0,Positive,0.9023194
2023-01-21,,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!","Thank you very much for responding, my problem was already solved, excellent day!",0,Positive,0.9910527
2023-01-23,,Gracias !,Gracias !,0,Positive,0.68649244
2023-01-23,,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.","Thank you very much, the team helped me solve the problem and they gave me the reward I won.",0,Positive,0.9740233
2023-01-23,,Gracias ! Este mes me tocó boletoDorado,Thank you !This month I had a newsletter,0,Positive,0.9611571
2023-01-23,,Bello!,Bello!,0,Neutral,0.5856087
2023-01-23,,Aún hay esperanza.. congrats !!,There is still hope .. congrats !!,0,Positive,0.97065574
2023-01-24,,Gracias 😊😊😊,Gracias 😊😊😊,0,Positive,0.9378627
2023-01-24,,Gracias.,Gracias.,0,Neutral,0.5560324
2023-01-24,,Muchas gracias 👌👌,Thank you very much 👌👌,0,Positive,0.9732572
2023-01-24,,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,"Thanks for my newsletter award, I already exchanges my gift card",0,Positive,0.9602207
2023-01-24,,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,Uncle thanks for my golden ticket.I finally touched me something.,0,Positive,0.89577293
2023-01-24,,No mames que buena suee!,Do not mames how good it sounds!,0,Positive,0.8399359
2023-01-24,,"segundo premio, espero lleguen más","second prize, I hope they get more",0,Positive,0.7503657
2023-01-25,,Gracias!!!,Gracias!!!,0,Positive,0.85205054
2023-01-25,,Gracias ☺️,Gracias ☺️,0,Positive,0.88122135
2023-01-25,,"Hola, esto nos beneficia a los usuarios de","Hello, this benefits the users of",0,Positive,0.897664
2023-01-26,,Gracias por el apoyo con el seguimiento,Thanks for the support with the follow -up,0,Positive,0.9767815
2023-01-26,,Gracias tio hey! Esto nos ayuda bastante.,Thanks Uncle Hey!This helps us a lot.,0,Positive,0.9709174
2023-01-26,,Muchas gracias Un mes gratis de,Thank you very much for a free month of,0,Positive,0.98961467
2023-01-27,,Muchísimas gracias ya me resolvió. Saludos!,Thank you very much I already resolved.Greetings!,0,Positive,0.9736676
2023-01-27,,Vale gracias 😃,Thanks thanks 😃,0,Positive,0.91866446
2023-01-27,,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,It worked.Like they fell only for a few seconds.It was weird.Thank you so much,0,Positive,0.92749685
2023-01-27,,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,"Hello, I wrote to you for DM because I have a couple of doubts with the TDC. Thank you.",0,Neutral,0.6299992
2023-01-27,,Gracias por ser pae de el FC Barcelona,Thanks for being the FC Barcelona Pae,0,Positive,0.9459534
2023-01-27,,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,When they will give me a traditional loan I have been with a credit card for more than a year and I have complied with my payments in a timely manner,0,Neutral,0.6637128
2023-01-28,,Ok gracias,OK thanks,0,Positive,0.5502417
2023-01-28,,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.","After being 1 year trying the credit card I can say that it is very good and not to mention the debit account, really in transactions security issues, very top.TQM Hey.",0,Positive,0.9614999
2023-01-28,,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien","Friendship, use if you use your card 6 times a month in purchases of $ 100 pesos you turn “heypro” and your investment gives you a 10% annual yield that is super super good with comparison to other banks or invent 25 years with Allianz a Allianz toMy cousin explained to me and it sounds about",0,Positive,0.931524
2023-01-28,,Excelente,Great,0,Positive,0.6990593
2023-01-29,,Me gane 2 premios,Songs in 2 Premios,0,Neutral,0.8771868
2023-01-29,,Amiga explícame!!!,Friend Explain me !!!,0,Neutral,0.6136076
2023-01-30,,Muchas gracias por la información!,Thank you very much for the information!,0,Positive,0.9851835
2023-01-30,,ThankU!,Gin,0,Neutral,0.56451666
2023-01-30,,"Vientos, gracias","Winds, thanks",0,Positive,0.52627325
2023-01-30,,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,I would love to presume my golden ticket award ... if it only existed ...,0,Positive,0.8809929
2023-01-31,,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,You can provide the link to invite more people and have my benefit. Thank you,0,Positive,0.89420086
2023-02-01,,Gracias 👏🏼,Gracias 👏🏼,0,Positive,0.8873645
2023-02-01,,"Gracias, lo checo","Thanks, the Czech",0,Positive,0.6212197
2023-02-01,,¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información,Is there no financial trip of 2022? 😣 That information was very good,0,Positive,0.90822357
2023-02-01,,Gracias por el dato y cómo fue soeo 👀?,Thanks for the data and how was Soo 👀?,0,Positive,0.7338898
2023-02-01,,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito","Good morning, as I can help me since they made a deposit to my credit account but I need it to the credit",0,Positive,0.4961164
2023-02-02,,Muchas gracias,Thank you so much,0,Positive,0.98310524
2023-02-02,,Gracias ya se solucionó. Buenas tardes,Thanks already solved.Good afternoon,0,Positive,0.943492
2023-02-02,,Lo realizaré.Gracias.,I will do it. Thank you.,0,Positive,0.9229565
2023-02-02,,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,In December I won a gift card on Amazon with Heybanco's golden ticket and bought this:*He gets excited in Lady*,0,Positive,0.93421906
2023-02-03,,Me funcionó mil gracias,It worked for me a thousand thanks,0,Positive,0.971049
2023-02-03,,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,Thanks but it's not necessary.it's a good option.So far I have not had serious problems with them is just adapt to their processes.But I still think they are on the right track.Although sometimes they make me angry,0,Positive,0.58404803
2023-02-04,,Mmm. te da el rendimiento del 10% Es buena opción.,Hmm.It gives you 10% yield is a good option.,0,Positive,0.6803927
2023-02-04,,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,Thanks for my credit increase in my card 💳 !!Very happy with your services!♥ ️,0,Positive,0.9922504
2023-02-05,,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,Speaking of ajolotes the bank will take this card and I loved it .. 👌🏼😊,0,Positive,0.98244065
2023-02-07,,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios","It would be the best TDC if payments could be made in advance in the months without interests such as other accounts, being an excellent option for many users",0,Positive,0.915152
2023-02-08,,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.","I almost gave myself when I did not get help from the sopoe team, related someone here referred to on Twitter sent him a private message and fixed it to me, all thanks to him, contact him now.",0,Neutral,0.6040778
2023-02-08,,Gracias por ser el mejor banco ✨,Thanks for being the best bank ✨,0,Positive,0.9826232
2023-02-10,,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.","Heybanco has weekly promissory notes with 10% per year.That is, a week you already get yields and you can reinvey that in the next promissory note (automatically).As you generate very fast compound interest, it is much better than 11% annual CETES.",0,Positive,0.8363285
2023-02-11,,gracias,gracias,0,Neutral,0.6270798
2023-02-11,,Solucionado. Gracias.,Solved.Thank you.,0,Positive,0.89226615
2023-02-11,,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.","Alch, throw some investigated from Cetes, GBM and Hey+.Cetes if you occupy Chido but is very safe and Hey+ with Heybanco is safe and fast money but little.",0,Positive,0.5870283
2023-02-11,,Excelente servicio de atención a clientes en HeyBanco 10/10,Excellent customer service in Heybanco 10/10,0,Positive,0.9710467
2023-02-11,,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤,For the first time I won something in the golden ticket of my d'Or I love you very much 🥰🖤,0,Positive,0.9914146
2023-02-13,,Ok muchas gracias 😊,Ok thank you very much 😊,0,Positive,0.97240204
2023-02-13,,Gracias. Porque tengo una duda,Thank you.Because I have a doubt,0,Positive,0.7013328
2023-02-13,,¡Gracias a ti por formar pae de esta gran familia!,Thanks to you for forming Pae of this great family!,0,Positive,0.9859946
2023-02-13,,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.","After today, life and my favorite bank said: have a gift card to take a Starbucks and relax for a while.",0,Positive,0.81774354
2023-02-14,,100 % recomendado la vdd,100 % recommended VDD,0,Positive,0.76447326
2023-02-14,,Para ver si eres fit y viable para seguros de vida! XD,To see if you are fit and viable for life insurance!XD,0,Neutral,0.81944954
2023-02-14,,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?","How interesting what I found in the permits used by the @heybanco application, was it activated, so that they need it?",0,Positive,0.88624036
2023-02-15,,😒 Gracias 😊,😒 Gracias 😊,0,Positive,0.7757829
2023-02-15,,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),"Hi, try on the phone or email.(With the app the truth I have not had problems)",0,Positive,0.5477536
2023-02-15,,hola ocupo ayuda con el cambio de número de celular y con mi token,Hi Ocupo helps with the change of cell phone number and with my token,0,Neutral,0.5501064
2023-02-16,,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí","I have thought about changing my payroll with them, I have it with and very comfortable. What good they tell me not to get a card there",0,Positive,0.5508564
2023-02-16,,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?","thank you!!!!Now, I saw something in relation to international transfers ... where do I see information?",0,Positive,0.5478583
2023-02-16,,"Pues más vale, la verdad","Well, better, the truth",0,Neutral,0.73117685
2023-02-16,,Ya está todo listo..,Everything is ready..,0,Positive,0.66247696
2023-02-17,,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,I just arrived at the fiscal record of and last year I won $ 2400 nomas of having my money saved with them.10/10,0,Positive,0.6321206
2023-02-17,,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,Never at least the AMEX the first annuity is free and gives you purchases for the first year and bonds.,0,Neutral,0.66631633
2023-02-17,,"Gracias por la respuesta, estaré al pendiente","Thanks for the answer, I will be on the pending",0,Positive,0.8469366
2023-02-18,,Hola buenas tardes,"Hello, good afternoon",0,Positive,0.7691411
2023-02-18,,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",Good day thank you very much!I already responded to DM.It took me because I thought they didn't respond at night Hehe,0,Positive,0.944568
2023-02-20,,Gracias,Gracias,0,Neutral,0.62235206
2023-02-20,,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,"TQM Thanks for putting retreats at HSBC ATMs, I have the most cerquita",0,Positive,0.9326938
2023-02-21,,Hola!!!,Hola!!!,0,Positive,0.7243546
2023-02-23,,Saludos a,Greetings to,0,Positive,0.7571216
2023-02-23,,"real esa tarjeta es la neta, en general el banco es 10/10","Real that card is the net, in general the bank is 10/10",0,Neutral,0.79565537
2023-02-23,,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻",": Or if I have an account but I never asked for physics, I will ask for it.Thanks for the recommendation 🥰🤘🏻",0,Positive,0.8736609
2023-02-23,,como puedo inveir con ustedes y como se genera las ganancias para uno,how can I invent with you and how the profits are generated for one,0,Neutral,0.79455686
2023-02-24,,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,Good that I lost my card because I needed a new one with this design.,0,Neutral,0.44978997
2023-02-24,,.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado,.@Heybanco TQM 🫶 It is not only one of the best banks with its TDC product or bank promissory notes (invent).He also knows that I am outlaw and gave me a money at Amazon 😌 with my golden ticket,0,Positive,0.9574923
2023-02-24,,"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔","Hello good day, when requesting a card with a new design I have to use it? It is just to get the metal, however the designs attract me as collectible ... and I would not like to ask for one and lose the metal🤔",0,Positive,0.48856807
2023-02-25,,"Gracias, hasta ahorita los amo 💙","Thanks, even right now I love you 💙",0,Positive,0.9824477
2023-02-26,,Gracias bro,Thanks bro,0,Positive,0.72150517
2023-02-26,,"Gracias, ya lo envié.","Thanks, I already sent it.",0,Neutral,0.52064484
2023-02-26,,"Gracias por responder, quedo en espera de la solución al problema.","Thank you for answering, I am waiting for the solution to the problem.",0,Positive,0.73625743
2023-02-26,,yo hice varias transferencias hace rato y todo bien,I made several transfers a while and all good,0,Positive,0.91303056
2023-02-26,,A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente,Sometimes it's just a matter of cleaning the chip before passing it!Thus I have solved the inconvenience,0,Positive,0.72545147
2023-02-26,,Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,I am very answered to combine this collaboration I did with Hey Banco,0,Positive,0.8551138
2023-02-26,,"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario.","Ah already, thanks, you mention the obvious with anything relevant, excellent comment.",0,Positive,0.93742245
2023-02-26,,“Agradecemos tu comprensión” jaja increíble,"""We appreciate your understanding"" haha incredible",0,Positive,0.9424738
2023-02-26,,Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.,It's right.From BBVA to BBVA without problems.Already in Hey they warned that until approximately 7.,0,Neutral,0.6214914
2023-02-27,,Gracias ya les respondí,Thanks I already replied,0,Positive,0.58137083
2023-02-27,,Listo!! Gracias,Ready!!Thank you,0,Positive,0.9466444
2023-02-27,,Perfecto! Gracias ☺️,Perfect!Thanks ☺️,0,Positive,0.98039514
2023-02-27,,Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación,But that tremendous wisdom 👏 I was stunned with this message I believed that the amount of warranty was used for children without food or for the destitute and that with that they already handed you a credit card 💳 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 😱 💳 💳 💳 😱 😱 💳 💳,0,Negative,0.5345009
2023-02-27,,Esta padrisima la tarjeta!!,The card is very well!,0,Positive,0.96211153
2023-02-27,,"Está muy bonito, me hace considerar adquirir la tarjeta","It is very nice, it makes me consider acquiring the card",0,Positive,0.98705184
2023-02-27,,Gracias. Ya le mande todos mis datos de mi tarjeta.,Thank you.I already send all my card data.,0,Positive,0.81912136
2023-02-27,,"Sí, sin problema:D","Yes, without problem: D",0,Positive,0.91350144
2023-02-27,,"No es problema de ,es ellos son los que tienen la falla. Dalay.","It is not a problem of, they are the ones who have the fault.Dalay",0,Negative,0.5054106
2023-02-27,,"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema.","Pf….You continue with intermittences ... and only Hey Banco, BBVA without problem.",0,Neutral,0.73905814
2023-02-27,,"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también.","The first had not been Chichen Itza? I am waiting for that, but this model is beautiful too.",0,Positive,0.9364815
2023-02-27,,"Tengo BBVA y Bancoppel, las dos trabajan a la perfección.","I have BBVA and BancoPpel, the two work perfectly.",0,Positive,0.9333105
2023-02-27,,Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.,I understand I appreciate the comment and as a suggestion I would like to receive an email or text notification that the service will not be available to not fall into this situation since it serves as a very useful card and I would like to continue with you.,0,Positive,0.69042856
2023-02-27,,Que bien! 👍🏼,Excellent!👍🏼,0,Positive,0.93783176
2023-02-28,,"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑","I feel powerful !!!Thanks, I'm very happy !!!! 🐝✨👑",0,Positive,0.9908936
2023-02-28,,Esta bien,Alright,0,Neutral,0.6192669
2023-02-28,,"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!","I have it and it is wonderful, efficient service and the first app.Highly recommended!!!!!",0,Positive,0.99042046
2023-02-28,,"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!","Oh no, I already have mine and that design is super cool !!!",0,Positive,0.98707634
2023-03-01,,"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero","Anime, almost a year with the HeyGarantized credit card without problems, including abroad",0,Positive,0.7940463
2023-03-02,,"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)","Thanks, as I remember this I had already done the day I went to activate but I will do it again for the TDD and the TDC, thank you :)",0,Positive,0.96289706
2023-03-02,,Mucho exito! heybanco,Much success!Heybanco,0,Positive,0.951569
2023-03-02,,. recomendadísimas 👌(pd. YoTePresto y 100Ladrillos HechoEnJalisco),.Recommended 👌 (Pd. Yotepresto and 100 Dispensicenjalisco),0,Neutral,0.838628
2023-03-03,,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria","Hello, thank you very much for your answer in DM👌, with what they told me, I already managed to make the movement that I required",0,Positive,0.94470793
