Unnamed: 0,date,time,tweet,tweet_translated,tweet_traducido,etiqueta_sentimiento,score_sentimiento
30,2023-01-11,,gracias igualmente bendiciones foldedhands,Thanks also blessings foldedhands,Thanks also blessings foldedhands,Positive,0.88625133
31,2023-01-11,,vale esperando,Vale waiting,Vale waiting,Neutral,0.67038643
32,2023-01-11,,muchas gracias espero respuesta,Thank you very much I expect response,Thank you very much I expect response,Positive,0.9619968
33,2023-01-13,,gane 99 pesitos credito amazon coesia agradables sujetos beamingfacewithsmilingeyes,Gane 99 Pesitos Credit Amazon Coesia,Gane 99 Pesitos Credit Amazon Coesia,Neutral,0.8888529
34,2023-01-13,,mejor,better,better,Neutral,0.52538544
35,2023-01-13,,contestenme favor,contestenme favor,contestenme favor,Neutral,0.7144123
36,2023-01-14,,muchas gracias amables smilingfacewithsmilingeyes,Thank you very friendly smilingfacewithsmilingeyes,Thank you very friendly smilingfacewithsmilingeyes,Positive,0.9861157
37,2023-01-14,,heybanco muchos anos cliente bancomer encontre verdad muy agusto servicios app tarjetas debito credito,Heybanco many years Client Bancomer found truth very agust,Heybanco many years Client Bancomer found truth very agust,Positive,0.6990315
38,2023-01-14,,amigos mande dm gracias,Friends send DM thanks,Friends send DM thanks,Positive,0.54370075
39,2023-01-14,,solicito ayuda gracias,I request help thanks,I request help thanks,Positive,0.62462914
40,2023-01-15,,graciasya respondi quedo atenta,THANK YOU,THANK YOU,Positive,0.85358506
41,2023-01-16,,va gracias,It goes thanks,It goes thanks,Positive,0.6816162
42,2023-01-16,,pique muchas graciasfacewithtearsofjoyredheart,Pique Thank you very much Facewithtearsofjoyredheart,Pique Thank you very much Facewithtearsofjoyredheart,Positive,0.9712524
43,2023-01-16,,planeacion temporada 2023 equipos gracias ocnfianza 1 viene bomba patrocinio vamos dobletedavilacarloss,Planning Season 2023 Teams Thank you Onfiaza 1 comes sponsor pump we are double,Planning Season 2023 Teams Thank you Onfiaza 1 comes sponsor pump we are double,Positive,0.88404226
44,2023-01-16,,banco 1 starstarstarstarstar,banco 1 starstarstarstarstar,banco 1 starstarstarstarstar,Neutral,0.7329377
45,2023-01-17,,gracias,gracias,gracias,Neutral,0.6270798
46,2023-01-17,,thanks,thanks,thanks,Neutral,0.5764604
47,2023-01-17,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
48,2023-01-17,,muchas gracias ayudo suficiente cargo procedio poaron muy bn aun pude comunicar telefono muy amables mil gracias interes hizo cargo,Thank you very much I help enough charge,Thank you very much I help enough charge,Positive,0.97217315
49,2023-01-17,,increible gracias heybancoheybanco,Incredible thanks Heybancoheybanco,Incredible thanks Heybancoheybanco,Positive,0.9701828
50,2023-01-17,,contestaron si,They answered yes,They answered yes,Neutral,0.49839944
51,2023-01-18,,gracias,gracias,gracias,Neutral,0.6270798
52,2023-01-18,,gracias,gracias,gracias,Neutral,0.6270798
53,2023-01-18,,graciaaas,Grace,Grace,Neutral,0.69399494
54,2023-01-18,,gracias pendiente segura va poner pilas lleguen incentivos si estare pidiendo apoyo,"Thank you safe pending, you will get incentives if I will be asking for support","Thank you safe pending, you will get incentives if I will be asking for support",Positive,0.8082824
55,2023-01-18,,moneybagla sexta opcion opcion mejores pagare 7 mejor mercado tasa 10 anual solo inversion aqui 5 000 plan metas dan rendimiento mes vencido 4 dinero disponible cualquier momento,"Moneybagg The Sixth Option Option Better will pay 7 Best Market Rate 10 Annual Investment Here 5,000 Plan Goals GIVE PERFORMANCE 4 MONEY available any time any time","Moneybagg The Sixth Option Option Better will pay 7 Best Market Rate 10 Annual Investment Here 5,000 Plan Goals GIVE PERFORMANCE 4 MONEY available any time any time",Positive,0.5381136
56,2023-01-18,,buena onda vos david clappinghandsclappinghands disfrutarlo,good vibes David Clappinghandsclappinghands enjoy it,good vibes David Clappinghandsclappinghands enjoy it,Positive,0.98149335
57,2023-01-19,,gracias,gracias,gracias,Neutral,0.6270798
58,2023-01-19,,pueden apoyar favor grimacingface,They can support GrimacingFace favor,They can support GrimacingFace favor,Neutral,0.66699094
59,2023-01-19,,agradece aviso clappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintone,agradece aviso clappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintone,agradece aviso clappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintoneclappinghandsmediumlightskintone,Neutral,0.88094354
60,2023-01-19,,gracias ve reflejado solucionado gracias,Thanks look at solved thanks,Thanks look at solved thanks,Positive,0.77267957
61,2023-01-20,,listo gracias,ready thanks,ready thanks,Neutral,0.4960924
62,2023-01-20,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
63,2023-01-20,,tkm heartsuit,tkm heartsuit,tkm heartsuit,Neutral,0.65578526
64,2023-01-20,,coesia animense sacar cuenta hey muchas gracias regalo cneiaokii,COESIA ANIMENSENSA ACCOUNT HEY MONZ's Gift Cneiaokii,COESIA ANIMENSENSA ACCOUNT HEY MONZ's Gift Cneiaokii,Neutral,0.8894052
65,2023-01-20,,cof cof tambien redheartredheart,cof cof tambien redheartredheart,cof cof tambien redheartredheart,Neutral,0.7902198
66,2023-01-20,,super recomiendo cobran plastico,Super I recommend plastic,Super I recommend plastic,Neutral,0.4811152
67,2023-01-20,,afounadamente mexico da 10 cuenta,Fortunately Mexico gives 10 account,Fortunately Mexico gives 10 account,Neutral,0.81653917
68,2023-01-21,,muchas gracias darme respuesta soluciono problema excelente,Thank you very much to answer I solve excellent problem,Thank you very much to answer I solve excellent problem,Positive,0.96448773
69,2023-01-23,,gracias,gracias,gracias,Neutral,0.6270798
70,2023-01-23,,muchas gracias equipo ayudo resolver problema dieron recompensa gane,Thank you very much equipment to solve the problem gave Game reward,Thank you very much equipment to solve the problem gave Game reward,Positive,0.92644376
71,2023-01-23,,gracias mes toco boletodorado,THANK YOU MONTH TOTOODORADO,THANK YOU MONTH TOTOODORADO,Positive,0.911728
72,2023-01-23,,bello,bello,bello,Neutral,0.53621364
73,2023-01-23,,aun esperanza congrats,Even hope congrats,Even hope congrats,Positive,0.92632854
74,2023-01-24,,gracias smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,gracias smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,gracias smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,Positive,0.5951486
75,2023-01-24,,gracias,gracias,gracias,Neutral,0.6270798
76,2023-01-24,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
77,2023-01-24,,gracias premio boletodorado canjee tarjeta regalo,Thanks Bulletodorado Award for Ret,Thanks Bulletodorado Award for Ret,Positive,0.8663729
78,2023-01-24,,tio gracias boleto dorado fin toco,Uncle Garded Golden Ticket Troo,Uncle Garded Golden Ticket Troo,Neutral,0.9051345
79,2023-01-24,,mames buena suee,Buena Mames sounds,Buena Mames sounds,Neutral,0.7871965
80,2023-01-24,,segundo premio espero lleguen mas,second prize I hope will come more,second prize I hope will come more,Positive,0.88749856
81,2023-01-25,,gracias,gracias,gracias,Neutral,0.6270798
82,2023-01-25,,gracias smilingface,gracias smilingface,gracias smilingface,Neutral,0.60053873
83,2023-01-25,,beneficia usuarios,benefits users,benefits users,Neutral,0.5401808
84,2023-01-26,,gracias apoyo seguimiento,Thank you support follow -up,Thank you support follow -up,Positive,0.92733115
85,2023-01-26,,gracias tio hey ayuda bastante,Thanks Uncle Hey help enough,Thanks Uncle Hey help enough,Positive,0.86539555
86,2023-01-26,,muchas gracias mes gratis,Thank you very much free month,Thank you very much free month,Positive,0.98721004
87,2023-01-27,,muchisimas gracias resolvio,Thank you very much solved,Thank you very much solved,Positive,0.96672064
88,2023-01-27,,vale gracias grinningfacewithbigeyes,vale gracias grinningfacewithbigeyes,vale gracias grinningfacewithbigeyes,Neutral,0.6611412
89,2023-01-27,,funciono cayo solo segundos raro muchas gracias,worked only second seconds thank you very much,worked only second seconds thank you very much,Positive,0.9405774
90,2023-01-27,,escribi dm par dudas tdc gracias,I wrote dm for tdc doubts thanks,I wrote dm for tdc doubts thanks,Neutral,0.726516
91,2023-01-27,,gracias ser pae fc barcelona,Thank you to be Pae FC Barcelona,Thank you to be Pae FC Barcelona,Positive,0.9492013
92,2023-01-27,,daran credito tradicional llevo mas ano tarjeta credito garantia cumplido pagos tiempo forma,They will give traditional credit I have more anus credit card guarantee fulfilled payments time,They will give traditional credit I have more anus credit card guarantee fulfilled payments time,Neutral,0.67571306
93,2023-01-28,,ok gracias,OK thanks,OK thanks,Positive,0.5502417
94,2023-01-28,,despues 1 ano probando tarjeta credito puedo decir muy buena hablar cuenta debito realmente temas seguridad transacciones muy top tqm hey,After 1 anus testing credit card I can say very good talk tells you really tell topics security transactions very top tqm hey,After 1 anus testing credit card I can say very good talk tells you really tell topics security transactions very top tqm hey,Positive,0.8654423
95,2023-01-28,,"amistad usa si usas tarjeta 6 veces mes compras 100 pesos vuelves ""heypro"" inversion da rendimiento 10 anual super super bien comparacion bancos inveir 25 anos allianz explico prima suena rebien","Friendship use if you use 6 times month purchases 100 pesos come back ""heypro"" investment of performance 10 annual super super good comparison banks invent 25 years Allianz explain prima sounds","Friendship use if you use 6 times month purchases 100 pesos come back ""heypro"" investment of performance 10 annual super super good comparison banks invent 25 years Allianz explain prima sounds",Positive,0.7422773
96,2023-01-28,,excelente,great,great,Positive,0.6335219
97,2023-01-29,,gane 2 premios,Gane 2 Premios,Gane 2 Premios,Neutral,0.73153514
98,2023-01-29,,amiga explicame,Friend explain to me,Friend explain to me,Neutral,0.74712646
99,2023-01-30,,muchas gracias informacion,Thank you very much information,Thank you very much information,Positive,0.9683907
100,2023-01-30,,thanku,Tin,Tin,Neutral,0.58425045
101,2023-01-30,,vientos gracias,THANKS THANKS,THANKS THANKS,Positive,0.91219103
102,2023-01-30,,encantaria presumir premio boleto dorado si tan solo existiera,enchant would presume a prize gold ticket if there were only,enchant would presume a prize gold ticket if there were only,Neutral,0.8139851
103,2023-01-31,,pueden proporcionar link invitar mas gente tener beneficio gracias,You can provide Link invite more people to have benefit thanks,You can provide Link invite more people to have benefit thanks,Positive,0.8387125
104,2023-02-01,,gracias clappinghandsmediumlightskintone,gracias clappinghandsmediumlightskintone,gracias clappinghandsmediumlightskintone,Neutral,0.8136212
105,2023-02-01,,gracias checo,Thanks Czech,Thanks Czech,Positive,0.620445
106,2023-02-01,,habra viaje financiero 2022perseveringface muy buena informacion,there will be financial trip 2022 Persevering Face very good information,there will be financial trip 2022 Persevering Face very good information,Positive,0.93098015
107,2023-02-01,,gracias dato soeo eyes,Thanks Dato Soo Eyes,Thanks Dato Soo Eyes,Positive,0.7244764
108,2023-02-01,,buen pueden ayudar realizaron deposito cuenta credito necesito credito,good can help you made a credit account I need credit,good can help you made a credit account I need credit,Positive,0.5357448
109,2023-02-02,,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
110,2023-02-02,,gracias soluciono buenas tardes,Thanks I solve good afternoon,Thanks I solve good afternoon,Positive,0.9225581
111,2023-02-02,,realizare gracias,I will thank,I will thank,Positive,0.7048939
112,2023-02-02,,diciembre gane tarjeta regalo amazon ticket dorado heybanco compre estose emociona senora,December Game Amazon Golden Gift Card Hey Bank Banks this is excited to be,December Game Amazon Golden Gift Card Hey Bank Banks this is excited to be,Positive,0.9544398
113,2023-02-03,,funciono mil gracias,A thousand thanks worked,A thousand thanks worked,Positive,0.8638867
114,2023-02-03,,gracias necesario buena opcion momento problemas graves solo adaptarme procesos aun creo van buen camino aunque ocasiones hagan enojar,"Thanks necessary good option, serious problems just adapt processes I still think they are going well even if they occasion","Thanks necessary good option, serious problems just adapt processes I still think they are going well even if they occasion",Positive,0.8101959
115,2023-02-04,,mmm da rendimiento 10 buena opcion,mmm gives yield 10 good option,mmm gives yield 10 good option,Positive,0.7037911
116,2023-02-04,,gracias aumento credito tarjeta creditcard muy contenta servicios heartsuit,Thanks Credit Creditcard Credit Very happy Heartsuit services,Thanks Credit Creditcard Credit Very happy Heartsuit services,Positive,0.9739246
117,2023-02-05,,hablando ajolotes banco sacara tarjeta encanto,Speaking Ajolotes Banco will take offender,Speaking Ajolotes Banco will take offender,Neutral,0.90816474
118,2023-02-07,,seria mejor tdc si pudiera realizar pagos adelantado meses intereses cuentas siendo opcion excelente muchos usuarios,It would be better TDC if I could make advances advanced months accounts being an excellent option many users,It would be better TDC if I could make advances advanced months accounts being an excellent option many users,Positive,0.7073568
119,2023-02-08,,casi rindo obtuve ayuda equipo sopoe afounadamente alguien aqui refirio twitter enviale mensaje privado arreglo gracias contactalo ahora,I almost rindo obtained helping equipment soriently someone here referees Twitter Subsequent PRIVATE message.,I almost rindo obtained helping equipment soriently someone here referees Twitter Subsequent PRIVATE message.,Neutral,0.6934741
120,2023-02-08,,gracias ser mejor banco sparkles,Thank you to be a better Banco Sparkles,Thank you to be a better Banco Sparkles,Positive,0.941678
121,2023-02-10,,heybanco pagares semanales 10 anual semana obtienes rendimientos puedes reinveir siguiente pagare forma automatica generas interes compuesto muy rapido muchisimo mejor 11 anual cetes,Hey Banco Pagas Weekly 10 Annual Week You get yields you can reinvest next I will pay automatic form genera interest very fast very fast better better 11 annual CETES,Hey Banco Pagas Weekly 10 Annual Week You get yields you can reinvest next I will pay automatic form genera interest very fast very fast better better 11 annual CETES,Positive,0.7892344
122,2023-02-11,,gracias,gracias,gracias,Neutral,0.6270798
123,2023-02-11,,solucionado gracias,"Solved, thank you","Solved, thank you",Positive,0.88885367
124,2023-02-11,,alch hechate unas investigadas cetes gmb hey cetes si ocupas investigar chido muy seguro hey heybanco dinero seguro rapido,Alch Take some researched CETES GBM Hey Cetes if you occupy research very sure heybanco money for sure quick money,Alch Take some researched CETES GBM Hey Cetes if you occupy research very sure heybanco money for sure quick money,Neutral,0.54749286
125,2023-02-11,,excelente servicio atencion clientes heybanco 1010,Excellent service attention heybanco 1010,Excellent service attention heybanco 1010,Positive,0.9036425
126,2023-02-11,,primera vez gane boleto dorado dor quiero mucho smilingfacewithheartsblackheart,First time I win gold ticket I want a lot,First time I win gold ticket I want a lot,Positive,0.93915707
127,2023-02-13,,ok muchas gracias smilingfacewithsmilingeyes,Ok thank you very much Smiling Face with Smiling Eyes,Ok thank you very much Smiling Face with Smiling Eyes,Positive,0.9740857
128,2023-02-13,,gracias duda,Thank you doubt,Thank you doubt,Positive,0.58504736
129,2023-02-13,,gracias formar pae gran familia,Thanks for training great family,Thanks for training great family,Positive,0.96946007
130,2023-02-13,,despues hoy vida banco favorito dijeron ten tarjeta regalo eches starbucks relajes rato,AFTER LIFE FAVORITE BANCO SAID TEN GIFT SET STARBUCKS RATURE,AFTER LIFE FAVORITE BANCO SAID TEN GIFT SET STARBUCKS RATURE,Neutral,0.5291593
131,2023-02-14,,100 recomendado vdd,100 Recommended VDD,100 Recommended VDD,Neutral,0.8468216
132,2023-02-14,,ver si fit viable seguros vida xd,See if Viable Fit Seguros Vida XD,See if Viable Fit Seguros Vida XD,Neutral,0.8745022
133,2023-02-14,,interesante encontre permisos utiliza aplicacion heybanco activada necesitan,Interesting find permissions use Activated Heybanco Application need,Interesting find permissions use Activated Heybanco Application need,Positive,0.84662765
134,2023-02-15,,unamusedface gracias smilingfacewithsmilingeyes,unamused face gracias smiling face with smiling eyes,unamused face gracias smiling face with smiling eyes,Positive,0.6960122
135,2023-02-15,,intenta telefono correo imagen app verdad problemas,Try phone Mail Image APP Truth Problems,Try phone Mail Image APP Truth Problems,Neutral,0.67171025
136,2023-02-15,,ocupo ayuda cambio numero celular token,OUPO HELP CHANGE CELL NUMBER TOKEN,OUPO HELP CHANGE CELL NUMBER TOKEN,Neutral,0.8240549
137,2023-02-16,,eh pensado cambiar nomina muy agusto bueno dicen sacar tarjeta ahi,Eh thought to change payroll very agust good they say they get a card there,Eh thought to change payroll very agust good they say they get a card there,Neutral,0.50422263
138,2023-02-16,,gracias ahora vi relacion transferencias internacionales veo informacion,Thanks now I saw international transfers relationship I see information,Thanks now I saw international transfers relationship I see information,Neutral,0.5661954
139,2023-02-16,,pues mas vale verdad,"Well, better truth","Well, better truth",Neutral,0.67879426
140,2023-02-16,,listo,List,List,Neutral,0.55480534
141,2023-02-17,,acaba llegar constancia fiscal ano pasado gane 2400 nomas tener dinero guardado 1010,Fiscal proof of last year is 2400 nomas to have money saved 1010,Fiscal proof of last year is 2400 nomas to have money saved 1010,Neutral,0.78742456
142,2023-02-17,,jamas menos amex primera anualidad gratis da beneficios compras primer ano bonos,Hard less amex first annuity gives benefits shopping first anus bonds,Hard less amex first annuity gives benefits shopping first anus bonds,Neutral,0.58490473
143,2023-02-17,,gracias respuesta estare pendiente,Thanks Answer I will be pending,Thanks Answer I will be pending,Neutral,0.5613719
144,2023-02-18,,buenas tardes,Good afternoon,Good afternoon,Positive,0.7834561
145,2023-02-18,,buen muchas gracias respondi dm tarde pense respondian noche hehe,GOOD THANK YOU DM LATER THOUGHT I WOULD ANSWER NIGHT HEHE,GOOD THANK YOU DM LATER THOUGHT I WOULD ANSWER NIGHT HEHE,Positive,0.9310486
146,2023-02-20,,gracias,gracias,gracias,Neutral,0.6270798
147,2023-02-20,,tqm gracias poner retiros cajeros hsbc q mas cerquita,TQM thanks for HSBC ATM retreats that more closely,TQM thanks for HSBC ATM retreats that more closely,Positive,0.86757016
150,2023-02-23,,real tarjeta neta general banco 1010,Real Net General Card Bank 1010,Real Net General Card Bank 1010,Neutral,0.90471596
151,2023-02-23,,si cuenta nunca pedi fisica pedire gracias recomendacion smilingfacewithheartssignofthehornslightskintone,"If you never have a physics, I will ask for thanks Recommendation Smiling Facewithheartssignofthehornsllightone","If you never have a physics, I will ask for thanks Recommendation Smiling Facewithheartssignofthehornsllightone",Neutral,0.6020256
152,2023-02-23,,puedo inveir ustedes genera ganancias,I can invent you generate profits,I can invent you generate profits,Neutral,0.6556118
153,2023-02-24,,bueno perdi tarjeta necesitaba nueva diseno,Well lost card I needed new design,Well lost card I needed new design,Neutral,0.5044368
154,2023-02-24,,heybanco tqm hearthands solo mejores bancos producto tdc pagares bancarios inveir ademas sabe ando foraneo regalo dinerito amazon relievedfacecon boleto dorado,Hey Banco TQM Heart Hands Only better Banks TDC Product Payable Banking invent,Hey Banco TQM Heart Hands Only better Banks TDC Product Payable Banking invent,Positive,0.6074025
155,2023-02-24,,buen solicitar tarjeta diseno nuevo utilizarlarecien llegarme metalica embargo atraen mucho disenos coleccionable... quisiera pedir perder metalthinkingface,Good request a new design card to use it just to arrive metallica however they attract a lot,Good request a new design card to use it just to arrive metallica however they attract a lot,Positive,0.8375901
156,2023-02-25,,gracias ahorita amo blueheart,Thanks now I love Blueheart,Thanks now I love Blueheart,Positive,0.9521957
157,2023-02-26,,gracias bro,thanks bro,thanks bro,Positive,0.6207676
158,2023-02-26,,gracias envie,Thank you send,Thank you send,Positive,0.87995434
159,2023-02-26,,gracias responder quedo espera solucion problema,Thanks Answer I Wait Solution Problem,Thanks Answer I Wait Solution Problem,Neutral,0.7211617
160,2023-02-26,,hice varias transferencias hace rato bien,I made several transfers a while ago,I made several transfers a while ago,Neutral,0.90518826
161,2023-02-26,,veces solo cuestion limpiar chip pasarla solucionado inconveniente,Sometimes I justice to clean chip to spend solved inconvenient,Sometimes I justice to clean chip to spend solved inconvenient,Neutral,0.66774935
162,2023-02-26,,muy contesta compairles colaboracion hice hey banco,very answers to combine collaboration I did hey bank,very answers to combine collaboration I did hey bank,Neutral,0.77772593
163,2023-02-26,,ah gracias mencionas evidente relevancia excelente comentario,Ah thanks you mention obvious relevance excellent comment,Ah thanks you mention obvious relevance excellent comment,Positive,0.954386
164,2023-02-26,,"""agradecemos comprension"" increible","""We appreciate comprehension""","""We appreciate comprehension""",Positive,0.8014855
165,2023-02-26,,correcto bbva bbva problemas hey avisaron 7 aproximadamente,Correct BBVA BBVA problems hey notified approximately 7,Correct BBVA BBVA problems hey notified approximately 7,Neutral,0.8644605
166,2023-02-27,,gracias respondi,Thanks answered,Thanks answered,Positive,0.7949064
167,2023-02-27,,listo gracias,ready thanks,ready thanks,Neutral,0.4960924
168,2023-02-27,,perfecto gracias smilingface,Perfect thanks Smilingface,Perfect thanks Smilingface,Positive,0.93593746
169,2023-02-27,,tremenda sabiduria clappinghands quede anonadado mensaje creia cantidad ponia garantia utilizaba ninos alimento indigentes despues entregaban tarjeta credito creditcard facescreaminginfear tremenda explicacion,Tremendous wisdom Clappinghands was overwhelmed message believed quantity. GUARANTEE USED RIGHT FOODS later delivered Credit Card Credit FaceScreaminginFear Tremendous Explanation,Tremendous wisdom Clappinghands was overwhelmed message believed quantity. GUARANTEE USED RIGHT FOODS later delivered Credit Card Credit FaceScreaminginFear Tremendous Explanation,Neutral,0.5359233
170,2023-02-27,,padrisima tarjeta,Padrisima card,Padrisima card,Neutral,0.7245296
171,2023-02-27,,muy bonito hace considerar adquirir tarjeta,Very nice makes you consider acquiring card,Very nice makes you consider acquiring card,Positive,0.95445925
172,2023-02-27,,gracias mande datos tarjeta,Thanks send card data,Thanks send card data,Neutral,0.70693606
173,2023-02-27,,si problemad,If problems,If problems,Neutral,0.4924777
174,2023-02-27,,problema falla dalay,Dalay Failure Problem,Dalay Failure Problem,Negative,0.63699174
175,2023-02-27,,pf... sigues intermitencias... solo hey banco bbva problema,PF ... you follow intermittences ... only Hey Banco BBVA Problem,PF ... you follow intermittences ... only Hey Banco BBVA Problem,Neutral,0.8647029
176,2023-02-27,,primera habia sido chichen itza esperando modelo bonito tambien,first had been Chichen Itza waiting for a pretty model too,first had been Chichen Itza waiting for a pretty model too,Positive,0.5282493
177,2023-02-27,,bbva bancoppel dos trabajan perfeccion,BBVA BANCOPPEL TWO WORK IMPERCION,BBVA BANCOPPEL TWO WORK IMPERCION,Neutral,0.82638806
178,2023-02-27,,entiendo agradezco comentario sugerencia gustaria recibir notificacion correo texto servicio estara disponible caer situacion sirve mucha utilidad tarjeta gustaria seguir ustedes,"I understand, I appreciate comment, I would like to receive a notification of mail text service will be available to fall a lot of utility will be liked to follow you","I understand, I appreciate comment, I would like to receive a notification of mail text service will be available to fall a lot of utility will be liked to follow you",Positive,0.8691869
179,2023-02-27,,bien thumbsupmediumlightskintone,bien thumbsupmediumlightskintone,bien thumbsupmediumlightskintone,Neutral,0.7937867
180,2023-02-28,,siento poderosa gracias muy contenta honeybeesparklescrown,I feel powerful thanks very happy honeybeesparklescrown,I feel powerful thanks very happy honeybeesparklescrown,Positive,0.9896746
181,2023-02-28,,bien,GOOD,GOOD,Positive,0.64067173
